Video Title,Published Date,Like Count,View Count
Python Pandas Tutorial (Part 1): Getting Started with Data Analysis - Installation and Loading Data,2020-01-09T14:00:08Z,19191,1205200
Python Pandas Tutorial (Part 2): DataFrame and Series Basics - Selecting Rows and Columns,2020-01-10T19:15:00Z,13279,565713
"Python Pandas Tutorial (Part 3): Indexes - How to Set, Reset, and Use Indexes",2020-01-13T19:45:00Z,8795,353691
Python Pandas Tutorial (Part 4): Filtering - Using Conditionals to Filter Rows and Columns,2020-01-17T14:00:06Z,9720,399200
Python Pandas Tutorial (Part 5): Updating Rows and Columns - Modifying Data Within DataFrames,2020-01-24T19:15:01Z,8253,355195
Matplotlib Tutorial (Part 1): Creating and Customizing Our First Plots,2019-06-10T15:00:04Z,17231,932277
Matplotlib Tutorial (Part 2): Bar Charts and Analyzing Data from CSVs,2019-06-11T15:00:11Z,6287,313626
Matplotlib Tutorial (Part 3): Pie Charts,2019-06-12T15:00:04Z,3435,141431
Matplotlib Tutorial (Part 4): Stack Plots,2019-06-13T15:00:07Z,2500,98973
Matplotlib Tutorial (Part 5): Filling Area on Line Plots,2019-06-14T15:00:16Z,2539,93088
Python Django Tutorial: Full-Featured Web App Part 1 - Getting Started,2018-08-31T18:00:05Z,30589,2079727
Python Django Tutorial: Full-Featured Web App Part 2 - Applications and Routes,2018-08-31T18:15:01Z,20855,803049
Python Django Tutorial: Full-Featured Web App Part 3 - Templates,2018-08-31T18:30:03Z,20143,847586
Python Django Tutorial: Full-Featured Web App Part 4 - Admin Page,2018-08-31T18:45:02Z,12034,401857
Python Django Tutorial: Full-Featured Web App Part 5 - Database and Migrations,2018-08-31T19:00:01Z,14919,636495
Python Flask Tutorial: Full-Featured Web App Part 1 - Getting Started,2018-05-04T17:30:01Z,29150,1820740
Python Flask Tutorial: Full-Featured Web App Part 2 - Templates,2018-05-04T17:59:29Z,18920,833723
Python Flask Tutorial: Full-Featured Web App Part 3 - Forms and User Input,2018-05-04T19:08:44Z,12918,713094
Python Flask Tutorial: Full-Featured Web App Part 4 - Database with Flask-SQLAlchemy,2018-05-04T19:10:53Z,11152,639879
Python Flask Tutorial: Full-Featured Web App Part 5 - Package Structure,2018-05-04T19:33:33Z,7942,323086
5 Essential Skills Every Well-Rounded Programmer Should Know,2017-09-19T16:30:00Z,8658,245799
"Frequently Asked Questions #1: Text Editors, Books, Career Advice, and More",2016-11-15T17:30:00Z,1508,40676
Overview of Online Learning Resources,2015-07-15T17:30:01Z,1220,36543
"How Software Engineers, Developers, and Designers can volunteer their skills",2015-04-27T14:30:01Z,598,17495
Preparing for a Python Interview: 10 Things You Should Know,2015-10-11T21:00:00Z,18839,949476
